"EF.ID","X1996.Source.Sink.Categories..CODE1.....","X2006.Source.Sink.Categories..CODE1.....","Gases..ID1.ID2.....","Fuel.1996..ID.","Fuel.2006..ID.","C.pool","Description","Technologies.Practices","Abatement.Control.technologies","Parameters.Conditions","Region.Regional.conditions","Other.Properties","Value","Unit..ID.","Value.in.Common.Units","Common.Unit","Equation","IPCC.Worksheet.Number","Source.of.Data","Full.Technical.Reference","URL","Reference.Language","Abstract.in.English","Lower.Confidence.Limit","Upper.Confidence.Limit","Data.Quality","Data.Quality.Reference","Other.Info.on.Data.Quality","Distribution.Shape..ID.","Type.of.Parameter..ID.","Measurement.Technique.Standard","Periodicity.of.Measurement","External.Quality.Control.Performed","Date.of.Measurement","Date.Calculated","Comments.from.Data.Provider","Data.Provider","Data.Provider.Country..CODE.","Data.Provider.Contact..email.address.","Date.Submitted.to.EFDB.by.Data.Provider..yyyy.mm.dd.","Date.Posted.to.EFDB.by.TSU","measurement.ID","citation.ID","send_SI"
"","5-FL-1","3.B.1.a","CARBON DIOXIDE (006),CARBON MONOXIDE (005),METHANE (004),NITROGEN OXIDES (NO+NO2) (002),NITROUS OXIDE (007)","","","Above-ground biomass [AGB] (AGB)","Aboveground Biomass (biomass_ag)","","","FAO ecological zone: Subtropical mountain system; vegetation type: Trees, conifer (needleleaf) evergreen; stand age: mature","country: India; state/province/region: Uttaranchal; geographic coordinates: 30.13, 79.6; elevation: 2850 m; continent: Asia; Koeppen climate zone: Dwb; mean annual temperature: 16.3 degrees C; annual precipitation: 1825 mm yr-1","ForC site: FT1 Dudhatoli Abies (ID#: 617); ForC plot: Upper West Himalayan Abies pindrow Spach. (Fir) (ID#: 846); ForC measurement ID: 5346; Date of Measurement: 2009; disturbance type: No disturbance; variable description: Total live aboveground biomass.",305.33,"tonnes dry matter/ha (954)","","","Equations 2.14, 2.16, 2.27","","Peer-reviewed journal","Sharma, C. M., Baduni, N. P., Gairola, S., Ghildiyal, S. K., & Suyal, S. (2010). Tree diversity and carbon stocks of some major forest types of Garhwal Himalaya, India. Forest Ecology and Management, 260(12), 2170-2179. doi:10.1016/j.foreco.2010.09.014","https://www.sciencedirect.com/science/article/pii/S0378112710005463?via%3Dihub","English","Four forest stands each of twenty major forest types in sub-tropical to temperate zones (350Â m asl-3100Â m asl) of Garhwal Himalaya were studied. The aim of the study was to assess the stem density, tree diversity, biomass and carbon stocks in these forests and make recommendations for forest management based on priorities for biodiversity protection and carbon sequestration. Stem density ranged between 295 and 850Â NÂ ha-1, while total biomass ranged from 129 to 533Â MgÂ ha-1. Total carbon storage ranged between 59 and 245Â MgÂ ha-1. The range of Shannon-Wiener diversity index was between 0.28 and 1.75. Most of the conifer-dominated forest types had higher carbon storage than broadleaf-dominated forest types. Protecting conifer-dominated stands, especially those dominated by Abies pindrow and Cedrus deodara, would have the largest impact, per unit area, on reducing carbon emissions from deforestation.","242.688","367.972","","","","","Other [e.g. Compiled] (3)","","","","","","confidence notes: 95%CI post-generated using z = 1.96 and se = 31.96; Data imported from the Global Forest Carbon database (ForC; https://forc-db.github.io/) : Anderson-Teixeira, K. J., M. M. H. Wang, J. C. McGarvey, V. Herrmann, A. J. Tepley, B. P. Bond-Lamberty, and D. S. LeBauer (2018) ForC: a global database of forest carbon stocks and fluxes. Ecology. DOI: 10.1002/ecy.2229.","ForC Database Team (lead: Kristina Anderson-Teixeira, Smithsonian Institution)","United States of America (USA)","TeixeiraK@si.edu",2021-10-08,"",5346,"Sharma_2010_tdac",0
"","5-FL-1","3.B.1.a","CARBON DIOXIDE (006)","","","Classified otherwise (OTH)","Biomass (biomass)","","","FAO ecological zone: Subtropical mountain system; vegetation type: Trees, conifer (needleleaf) evergreen; stand age: mature","country: India; state/province/region: Uttaranchal; geographic coordinates: 30.13, 79.6; elevation: 2850 m; continent: Asia; Koeppen climate zone: Dwb; mean annual temperature: 16.3 degrees C; annual precipitation: 1825 mm yr-1","ForC site: FT1 Dudhatoli Abies (ID#: 617); ForC plot: Upper West Himalayan Abies pindrow Spach. (Fir) (ID#: 846); ForC measurement ID: 5347; Date of Measurement: 2009; disturbance type: No disturbance; variable description: Total carbon in live biomass (above and below-ground).",173.72,"tonnes C/ha (274)","","NA ","Equations 2.14, 2.16","","Peer-reviewed journal","Sharma, C. M., Baduni, N. P., Gairola, S., Ghildiyal, S. K., & Suyal, S. (2010). Tree diversity and carbon stocks of some major forest types of Garhwal Himalaya, India. Forest Ecology and Management, 260(12), 2170-2179. doi:10.1016/j.foreco.2010.09.014","https://www.sciencedirect.com/science/article/pii/S0378112710005463?via%3Dihub","English","Four forest stands each of twenty major forest types in sub-tropical to temperate zones (350Â m asl-3100Â m asl) of Garhwal Himalaya were studied. The aim of the study was to assess the stem density, tree diversity, biomass and carbon stocks in these forests and make recommendations for forest management based on priorities for biodiversity protection and carbon sequestration. Stem density ranged between 295 and 850Â NÂ ha-1, while total biomass ranged from 129 to 533Â MgÂ ha-1. Total carbon storage ranged between 59 and 245Â MgÂ ha-1. The range of Shannon-Wiener diversity index was between 0.28 and 1.75. Most of the conifer-dominated forest types had higher carbon storage than broadleaf-dominated forest types. Protecting conifer-dominated stands, especially those dominated by Abies pindrow and Cedrus deodara, would have the largest impact, per unit area, on reducing carbon emissions from deforestation.","138.891","208.549","","","","","Other [e.g. Compiled] (3)","","","","","","confidence notes: 95%CI post-generated using z = 1.96 and se = 17.77; Data imported from the Global Forest Carbon database (ForC; https://forc-db.github.io/) : Anderson-Teixeira, K. J., M. M. H. Wang, J. C. McGarvey, V. Herrmann, A. J. Tepley, B. P. Bond-Lamberty, and D. S. LeBauer (2018) ForC: a global database of forest carbon stocks and fluxes. Ecology. DOI: 10.1002/ecy.2229.","ForC Database Team (lead: Kristina Anderson-Teixeira, Smithsonian Institution)","United States of America (USA)","TeixeiraK@si.edu",2021-10-08,"",5347,"Sharma_2010_tdac",0
"","5-FL-1","3.B.1.a","CARBON DIOXIDE (006)","","","Below-ground biomass [BGB] (BGB)","Biomass: root component (biomass_root)","","","FAO ecological zone: Subtropical mountain system; vegetation type: Trees, conifer (needleleaf) evergreen; stand age: mature","country: India; state/province/region: Uttaranchal; geographic coordinates: 30.13, 79.6; elevation: 2850 m; continent: Asia; Koeppen climate zone: Dwb; mean annual temperature: 16.3 degrees C; annual precipitation: 1825 mm yr-1","ForC site: FT1 Dudhatoli Abies (ID#: 617); ForC plot: Upper West Himalayan Abies pindrow Spach. (Fir) (ID#: 846); ForC measurement ID: 5348; Date of Measurement: 2009; disturbance type: No disturbance; variable description: Total carbon in root biomass",21.1,"tonnes C/ha (274)","","NA ","Equations 2.14, 2.16","","Peer-reviewed journal","Sharma, C. M., Baduni, N. P., Gairola, S., Ghildiyal, S. K., & Suyal, S. (2010). Tree diversity and carbon stocks of some major forest types of Garhwal Himalaya, India. Forest Ecology and Management, 260(12), 2170-2179. doi:10.1016/j.foreco.2010.09.014","https://www.sciencedirect.com/science/article/pii/S0378112710005463?via%3Dihub","English","Four forest stands each of twenty major forest types in sub-tropical to temperate zones (350Â m asl-3100Â m asl) of Garhwal Himalaya were studied. The aim of the study was to assess the stem density, tree diversity, biomass and carbon stocks in these forests and make recommendations for forest management based on priorities for biodiversity protection and carbon sequestration. Stem density ranged between 295 and 850Â NÂ ha-1, while total biomass ranged from 129 to 533Â MgÂ ha-1. Total carbon storage ranged between 59 and 245Â MgÂ ha-1. The range of Shannon-Wiener diversity index was between 0.28 and 1.75. Most of the conifer-dominated forest types had higher carbon storage than broadleaf-dominated forest types. Protecting conifer-dominated stands, especially those dominated by Abies pindrow and Cedrus deodara, would have the largest impact, per unit area, on reducing carbon emissions from deforestation.","Unknown","Unknown","","","","","Other [e.g. Compiled] (3)","","","","","","Data imported from the Global Forest Carbon database (ForC; https://forc-db.github.io/) : Anderson-Teixeira, K. J., M. M. H. Wang, J. C. McGarvey, V. Herrmann, A. J. Tepley, B. P. Bond-Lamberty, and D. S. LeBauer (2018) ForC: a global database of forest carbon stocks and fluxes. Ecology. DOI: 10.1002/ecy.2229.","ForC Database Team (lead: Kristina Anderson-Teixeira, Smithsonian Institution)","United States of America (USA)","TeixeiraK@si.edu",2021-10-08,"",5348,"Sharma_2010_tdac",0
"","5-FL","3.B.1","CARBON DIOXIDE (006),CARBON MONOXIDE (005),METHANE (004),NITROGEN OXIDES (NO+NO2) (002),NITROUS OXIDE (007)","","","Above-ground biomass [AGB] (AGB)","Aboveground Biomass (biomass_ag)","","","FAO ecological zone: Subtropical mountain system; vegetation type: Trees, broadleaf, deciduous or with dominant deciduous component ; stand age: mature","country: India; state/province/region: Deogaddi; nearest city: Dabrad; geographic coordinates: 29.8, 78.65; elevation: 1000 m; continent: Asia; Koeppen climate zone: Cwa; mean annual temperature: 20.4 degrees C; annual precipitation: 1757 mm yr-1","ForC site: FT10 Fatehpur (ID#: 618); ForC plot: Wildfire disturbed Siwalik Pinus roxburghii Sarg. (Chir-Pine) (ID#: 847); ForC measurement ID: 5349; Date of Measurement: 2009; variable description: Total live aboveground biomass.",126.23,"tonnes dry matter/ha (954)","","","Equations 2.14, 2.16, 2.27","","Peer-reviewed journal","Sharma, C. M., Baduni, N. P., Gairola, S., Ghildiyal, S. K., & Suyal, S. (2010). Tree diversity and carbon stocks of some major forest types of Garhwal Himalaya, India. Forest Ecology and Management, 260(12), 2170-2179. doi:10.1016/j.foreco.2010.09.014","https://www.sciencedirect.com/science/article/pii/S0378112710005463?via%3Dihub","English","Four forest stands each of twenty major forest types in sub-tropical to temperate zones (350Â m asl-3100Â m asl) of Garhwal Himalaya were studied. The aim of the study was to assess the stem density, tree diversity, biomass and carbon stocks in these forests and make recommendations for forest management based on priorities for biodiversity protection and carbon sequestration. Stem density ranged between 295 and 850Â NÂ ha-1, while total biomass ranged from 129 to 533Â MgÂ ha-1. Total carbon storage ranged between 59 and 245Â MgÂ ha-1. The range of Shannon-Wiener diversity index was between 0.28 and 1.75. Most of the conifer-dominated forest types had higher carbon storage than broadleaf-dominated forest types. Protecting conifer-dominated stands, especially those dominated by Abies pindrow and Cedrus deodara, would have the largest impact, per unit area, on reducing carbon emissions from deforestation.","101.122","151.338","","","","","Other [e.g. Compiled] (3)","","","","","","confidence notes: 95%CI post-generated using z = 1.96 and se = 12.81; Data imported from the Global Forest Carbon database (ForC; https://forc-db.github.io/) : Anderson-Teixeira, K. J., M. M. H. Wang, J. C. McGarvey, V. Herrmann, A. J. Tepley, B. P. Bond-Lamberty, and D. S. LeBauer (2018) ForC: a global database of forest carbon stocks and fluxes. Ecology. DOI: 10.1002/ecy.2229.","ForC Database Team (lead: Kristina Anderson-Teixeira, Smithsonian Institution)","United States of America (USA)","TeixeiraK@si.edu",2021-10-08,"",5349,"Sharma_2010_tdac",0
"","5-FL","3.B.1","CARBON DIOXIDE (006)","","","Classified otherwise (OTH)","Biomass (biomass)","","","FAO ecological zone: Subtropical mountain system; vegetation type: Trees, broadleaf, deciduous or with dominant deciduous component ; stand age: mature","country: India; state/province/region: Deogaddi; nearest city: Dabrad; geographic coordinates: 29.8, 78.65; elevation: 1000 m; continent: Asia; Koeppen climate zone: Cwa; mean annual temperature: 20.4 degrees C; annual precipitation: 1757 mm yr-1","ForC site: FT10 Fatehpur (ID#: 618); ForC plot: Wildfire disturbed Siwalik Pinus roxburghii Sarg. (Chir-Pine) (ID#: 847); ForC measurement ID: 5350; Date of Measurement: 2009; variable description: Total carbon in live biomass (above and below-ground).",73.3,"tonnes C/ha (274)","","NA ","Equations 2.14, 2.16","","Peer-reviewed journal","Sharma, C. M., Baduni, N. P., Gairola, S., Ghildiyal, S. K., & Suyal, S. (2010). Tree diversity and carbon stocks of some major forest types of Garhwal Himalaya, India. Forest Ecology and Management, 260(12), 2170-2179. doi:10.1016/j.foreco.2010.09.014","https://www.sciencedirect.com/science/article/pii/S0378112710005463?via%3Dihub","English","Four forest stands each of twenty major forest types in sub-tropical to temperate zones (350Â m asl-3100Â m asl) of Garhwal Himalaya were studied. The aim of the study was to assess the stem density, tree diversity, biomass and carbon stocks in these forests and make recommendations for forest management based on priorities for biodiversity protection and carbon sequestration. Stem density ranged between 295 and 850Â NÂ ha-1, while total biomass ranged from 129 to 533Â MgÂ ha-1. Total carbon storage ranged between 59 and 245Â MgÂ ha-1. The range of Shannon-Wiener diversity index was between 0.28 and 1.75. Most of the conifer-dominated forest types had higher carbon storage than broadleaf-dominated forest types. Protecting conifer-dominated stands, especially those dominated by Abies pindrow and Cedrus deodara, would have the largest impact, per unit area, on reducing carbon emissions from deforestation.","59.051","87.549","","","","","Other [e.g. Compiled] (3)","","","","","","confidence notes: 95%CI post-generated using z = 1.96 and se = 7.27; Data imported from the Global Forest Carbon database (ForC; https://forc-db.github.io/) : Anderson-Teixeira, K. J., M. M. H. Wang, J. C. McGarvey, V. Herrmann, A. J. Tepley, B. P. Bond-Lamberty, and D. S. LeBauer (2018) ForC: a global database of forest carbon stocks and fluxes. Ecology. DOI: 10.1002/ecy.2229.","ForC Database Team (lead: Kristina Anderson-Teixeira, Smithsonian Institution)","United States of America (USA)","TeixeiraK@si.edu",2021-10-08,"",5350,"Sharma_2010_tdac",0
"","5-FL","3.B.1","CARBON DIOXIDE (006)","","","Below-ground biomass [BGB] (BGB)","Biomass: root component (biomass_root)","","","FAO ecological zone: Subtropical mountain system; vegetation type: Trees, broadleaf, deciduous or with dominant deciduous component ; stand age: mature","country: India; state/province/region: Deogaddi; nearest city: Dabrad; geographic coordinates: 29.8, 78.65; elevation: 1000 m; continent: Asia; Koeppen climate zone: Cwa; mean annual temperature: 20.4 degrees C; annual precipitation: 1757 mm yr-1","ForC site: FT10 Fatehpur (ID#: 618); ForC plot: Wildfire disturbed Siwalik Pinus roxburghii Sarg. (Chir-Pine) (ID#: 847); ForC measurement ID: 5351; Date of Measurement: 2009; variable description: Total carbon in root biomass",10.2,"tonnes C/ha (274)","","NA ","Equations 2.14, 2.16","","Peer-reviewed journal","Sharma, C. M., Baduni, N. P., Gairola, S., Ghildiyal, S. K., & Suyal, S. (2010). Tree diversity and carbon stocks of some major forest types of Garhwal Himalaya, India. Forest Ecology and Management, 260(12), 2170-2179. doi:10.1016/j.foreco.2010.09.014","https://www.sciencedirect.com/science/article/pii/S0378112710005463?via%3Dihub","English","Four forest stands each of twenty major forest types in sub-tropical to temperate zones (350Â m asl-3100Â m asl) of Garhwal Himalaya were studied. The aim of the study was to assess the stem density, tree diversity, biomass and carbon stocks in these forests and make recommendations for forest management based on priorities for biodiversity protection and carbon sequestration. Stem density ranged between 295 and 850Â NÂ ha-1, while total biomass ranged from 129 to 533Â MgÂ ha-1. Total carbon storage ranged between 59 and 245Â MgÂ ha-1. The range of Shannon-Wiener diversity index was between 0.28 and 1.75. Most of the conifer-dominated forest types had higher carbon storage than broadleaf-dominated forest types. Protecting conifer-dominated stands, especially those dominated by Abies pindrow and Cedrus deodara, would have the largest impact, per unit area, on reducing carbon emissions from deforestation.","Unknown","Unknown","","","","","Other [e.g. Compiled] (3)","","","","","","Data imported from the Global Forest Carbon database (ForC; https://forc-db.github.io/) : Anderson-Teixeira, K. J., M. M. H. Wang, J. C. McGarvey, V. Herrmann, A. J. Tepley, B. P. Bond-Lamberty, and D. S. LeBauer (2018) ForC: a global database of forest carbon stocks and fluxes. Ecology. DOI: 10.1002/ecy.2229.","ForC Database Team (lead: Kristina Anderson-Teixeira, Smithsonian Institution)","United States of America (USA)","TeixeiraK@si.edu",2021-10-08,"",5351,"Sharma_2010_tdac",0
"","5-FL-1","3.B.1.a","CARBON DIOXIDE (006),CARBON MONOXIDE (005),METHANE (004),NITROGEN OXIDES (NO+NO2) (002),NITROUS OXIDE (007)","","","Above-ground biomass [AGB] (AGB)","Aboveground Biomass (biomass_ag)","","","FAO ecological zone: Tropical moist forest; vegetation type: Trees, broadleaf, deciduous or with dominant deciduous component ; stand age: mature","country: India; state/province/region: Uttaranchal; nearest city: Duggada; geographic coordinates: 29.78, 78.63; elevation: 950 m; continent: Asia; Koeppen climate zone: Cwa; mean annual temperature: 20.4 degrees C; annual precipitation: 1300 mm yr-1","ForC site: FT11 Gumkhal (ID#: 619); ForC plot: Dry sub-deciduous Shorea robusta Gaertn. F. (Sal) (ID#: 848); ForC measurement ID: 5352; Date of Measurement: 2009; disturbance type: No disturbance; variable description: Total live aboveground biomass.",128.54,"tonnes dry matter/ha (954)","","NA ","Equations 2.14, 2.16, 2.27","","Peer-reviewed journal","Sharma, C. M., Baduni, N. P., Gairola, S., Ghildiyal, S. K., & Suyal, S. (2010). Tree diversity and carbon stocks of some major forest types of Garhwal Himalaya, India. Forest Ecology and Management, 260(12), 2170-2179. doi:10.1016/j.foreco.2010.09.014","https://www.sciencedirect.com/science/article/pii/S0378112710005463?via%3Dihub","English","Four forest stands each of twenty major forest types in sub-tropical to temperate zones (350Â m asl-3100Â m asl) of Garhwal Himalaya were studied. The aim of the study was to assess the stem density, tree diversity, biomass and carbon stocks in these forests and make recommendations for forest management based on priorities for biodiversity protection and carbon sequestration. Stem density ranged between 295 and 850Â NÂ ha-1, while total biomass ranged from 129 to 533Â MgÂ ha-1. Total carbon storage ranged between 59 and 245Â MgÂ ha-1. The range of Shannon-Wiener diversity index was between 0.28 and 1.75. Most of the conifer-dominated forest types had higher carbon storage than broadleaf-dominated forest types. Protecting conifer-dominated stands, especially those dominated by Abies pindrow and Cedrus deodara, would have the largest impact, per unit area, on reducing carbon emissions from deforestation.","74.797","182.283","","","","","Other [e.g. Compiled] (3)","","","","","","confidence notes: 95%CI post-generated using z = 1.96 and se = 27.42; Data imported from the Global Forest Carbon database (ForC; https://forc-db.github.io/) : Anderson-Teixeira, K. J., M. M. H. Wang, J. C. McGarvey, V. Herrmann, A. J. Tepley, B. P. Bond-Lamberty, and D. S. LeBauer (2018) ForC: a global database of forest carbon stocks and fluxes. Ecology. DOI: 10.1002/ecy.2229.","ForC Database Team (lead: Kristina Anderson-Teixeira, Smithsonian Institution)","United States of America (USA)","TeixeiraK@si.edu",2021-10-08,"",5352,"Sharma_2010_tdac",0
"","5-FL-1","3.B.1.a","CARBON DIOXIDE (006)","","","Classified otherwise (OTH)","Biomass (biomass)","","","FAO ecological zone: Tropical moist forest; vegetation type: Trees, broadleaf, deciduous or with dominant deciduous component ; stand age: mature","country: India; state/province/region: Uttaranchal; nearest city: Duggada; geographic coordinates: 29.78, 78.63; elevation: 950 m; continent: Asia; Koeppen climate zone: Cwa; mean annual temperature: 20.4 degrees C; annual precipitation: 1300 mm yr-1","ForC site: FT11 Gumkhal (ID#: 619); ForC plot: Dry sub-deciduous Shorea robusta Gaertn. F. (Sal) (ID#: 848); ForC measurement ID: 5353; Date of Measurement: 2009; disturbance type: No disturbance; variable description: Total carbon in live biomass (above and below-ground).",74.54,"tonnes C/ha (274)","","NA ","Equations 2.14, 2.16","","Peer-reviewed journal","Sharma, C. M., Baduni, N. P., Gairola, S., Ghildiyal, S. K., & Suyal, S. (2010). Tree diversity and carbon stocks of some major forest types of Garhwal Himalaya, India. Forest Ecology and Management, 260(12), 2170-2179. doi:10.1016/j.foreco.2010.09.014","https://www.sciencedirect.com/science/article/pii/S0378112710005463?via%3Dihub","English","Four forest stands each of twenty major forest types in sub-tropical to temperate zones (350Â m asl-3100Â m asl) of Garhwal Himalaya were studied. The aim of the study was to assess the stem density, tree diversity, biomass and carbon stocks in these forests and make recommendations for forest management based on priorities for biodiversity protection and carbon sequestration. Stem density ranged between 295 and 850Â NÂ ha-1, while total biomass ranged from 129 to 533Â MgÂ ha-1. Total carbon storage ranged between 59 and 245Â MgÂ ha-1. The range of Shannon-Wiener diversity index was between 0.28 and 1.75. Most of the conifer-dominated forest types had higher carbon storage than broadleaf-dominated forest types. Protecting conifer-dominated stands, especially those dominated by Abies pindrow and Cedrus deodara, would have the largest impact, per unit area, on reducing carbon emissions from deforestation.","44.16","104.92","","","","","Other [e.g. Compiled] (3)","","","","","","confidence notes: 95%CI post-generated using z = 1.96 and se = 15.5; Data imported from the Global Forest Carbon database (ForC; https://forc-db.github.io/) : Anderson-Teixeira, K. J., M. M. H. Wang, J. C. McGarvey, V. Herrmann, A. J. Tepley, B. P. Bond-Lamberty, and D. S. LeBauer (2018) ForC: a global database of forest carbon stocks and fluxes. Ecology. DOI: 10.1002/ecy.2229.","ForC Database Team (lead: Kristina Anderson-Teixeira, Smithsonian Institution)","United States of America (USA)","TeixeiraK@si.edu",2021-10-08,"",5353,"Sharma_2010_tdac",0
"","5-FL-1","3.B.1.a","CARBON DIOXIDE (006)","","","Below-ground biomass [BGB] (BGB)","Biomass: root component (biomass_root)","","","FAO ecological zone: Tropical moist forest; vegetation type: Trees, broadleaf, deciduous or with dominant deciduous component ; stand age: mature","country: India; state/province/region: Uttaranchal; nearest city: Duggada; geographic coordinates: 29.78, 78.63; elevation: 950 m; continent: Asia; Koeppen climate zone: Cwa; mean annual temperature: 20.4 degrees C; annual precipitation: 1300 mm yr-1","ForC site: FT11 Gumkhal (ID#: 619); ForC plot: Dry sub-deciduous Shorea robusta Gaertn. F. (Sal) (ID#: 848); ForC measurement ID: 5354; Date of Measurement: 2009; disturbance type: No disturbance; variable description: Total carbon in root biomass",10.3,"tonnes C/ha (274)","","NA ","Equations 2.14, 2.16","","Peer-reviewed journal","Sharma, C. M., Baduni, N. P., Gairola, S., Ghildiyal, S. K., & Suyal, S. (2010). Tree diversity and carbon stocks of some major forest types of Garhwal Himalaya, India. Forest Ecology and Management, 260(12), 2170-2179. doi:10.1016/j.foreco.2010.09.014","https://www.sciencedirect.com/science/article/pii/S0378112710005463?via%3Dihub","English","Four forest stands each of twenty major forest types in sub-tropical to temperate zones (350Â m asl-3100Â m asl) of Garhwal Himalaya were studied. The aim of the study was to assess the stem density, tree diversity, biomass and carbon stocks in these forests and make recommendations for forest management based on priorities for biodiversity protection and carbon sequestration. Stem density ranged between 295 and 850Â NÂ ha-1, while total biomass ranged from 129 to 533Â MgÂ ha-1. Total carbon storage ranged between 59 and 245Â MgÂ ha-1. The range of Shannon-Wiener diversity index was between 0.28 and 1.75. Most of the conifer-dominated forest types had higher carbon storage than broadleaf-dominated forest types. Protecting conifer-dominated stands, especially those dominated by Abies pindrow and Cedrus deodara, would have the largest impact, per unit area, on reducing carbon emissions from deforestation.","Unknown","Unknown","","","","","Other [e.g. Compiled] (3)","","","","","","Data imported from the Global Forest Carbon database (ForC; https://forc-db.github.io/) : Anderson-Teixeira, K. J., M. M. H. Wang, J. C. McGarvey, V. Herrmann, A. J. Tepley, B. P. Bond-Lamberty, and D. S. LeBauer (2018) ForC: a global database of forest carbon stocks and fluxes. Ecology. DOI: 10.1002/ecy.2229.","ForC Database Team (lead: Kristina Anderson-Teixeira, Smithsonian Institution)","United States of America (USA)","TeixeiraK@si.edu",2021-10-08,"",5354,"Sharma_2010_tdac",0
"","5-FL-1","3.B.1.a","CARBON DIOXIDE (006),CARBON MONOXIDE (005),METHANE (004),NITROGEN OXIDES (NO+NO2) (002),NITROUS OXIDE (007)","","","Above-ground biomass [AGB] (AGB)","Aboveground Biomass (biomass_ag)","","","FAO ecological zone: Tropical moist forest; vegetation type: Trees, broadleaf, deciduous or with dominant deciduous component ; stand age: mature","country: India; state/province/region: Uttaranchal; nearest city: Bhabhar; geographic coordinates: 29.78, 78.63; elevation: 525 m; continent: Asia; Koeppen climate zone: Cwa; mean annual temperature: 20.4 degrees C; annual precipitation: 2030 mm yr-1","ForC site: FT12 Laldhang Shorea (ID#: 620); ForC plot: Moist Bhabhar Shorea robusta F. (Sal) (ID#: 849); ForC measurement ID: 5355; Date of Measurement: 2009; disturbance type: No disturbance; variable description: Total live aboveground biomass.",279.64,"tonnes dry matter/ha (954)","","NA ","Equations 2.14, 2.16, 2.27","","Peer-reviewed journal","Sharma, C. M., Baduni, N. P., Gairola, S., Ghildiyal, S. K., & Suyal, S. (2010). Tree diversity and carbon stocks of some major forest types of Garhwal Himalaya, India. Forest Ecology and Management, 260(12), 2170-2179. doi:10.1016/j.foreco.2010.09.014","https://www.sciencedirect.com/science/article/pii/S0378112710005463?via%3Dihub","English","Four forest stands each of twenty major forest types in sub-tropical to temperate zones (350Â m asl-3100Â m asl) of Garhwal Himalaya were studied. The aim of the study was to assess the stem density, tree diversity, biomass and carbon stocks in these forests and make recommendations for forest management based on priorities for biodiversity protection and carbon sequestration. Stem density ranged between 295 and 850Â NÂ ha-1, while total biomass ranged from 129 to 533Â MgÂ ha-1. Total carbon storage ranged between 59 and 245Â MgÂ ha-1. The range of Shannon-Wiener diversity index was between 0.28 and 1.75. Most of the conifer-dominated forest types had higher carbon storage than broadleaf-dominated forest types. Protecting conifer-dominated stands, especially those dominated by Abies pindrow and Cedrus deodara, would have the largest impact, per unit area, on reducing carbon emissions from deforestation.","206.003","353.277","","","","","Other [e.g. Compiled] (3)","","","","","","confidence notes: 95%CI post-generated using z = 1.96 and se = 37.57; Data imported from the Global Forest Carbon database (ForC; https://forc-db.github.io/) : Anderson-Teixeira, K. J., M. M. H. Wang, J. C. McGarvey, V. Herrmann, A. J. Tepley, B. P. Bond-Lamberty, and D. S. LeBauer (2018) ForC: a global database of forest carbon stocks and fluxes. Ecology. DOI: 10.1002/ecy.2229.","ForC Database Team (lead: Kristina Anderson-Teixeira, Smithsonian Institution)","United States of America (USA)","TeixeiraK@si.edu",2021-10-08,"",5355,"Sharma_2010_tdac",0
